5901962 | DUIViewWndClassName | vis=True | (122,113) 754x306 | ''
2424996 | DirectUIHWND | vis=True | (122,113) 754x306 | ''
7998618 | CtrlNotifySink | vis=True | (125,144) 154x274 | ''
18154650 | NamespaceTreeControl | vis=True | (125,144) 154x274 | '命名空间树状控制项'
7867824 | Static | vis=False | (125,144) 0x0 | '命名空间树状控制项'
12256938 | SysTreeView32 | vis=True | (125,144) 154x274 | '导航窗格'
12454256 | CtrlNotifySink | vis=False | (122,113) 0x0 | ''
12517720 | Shell Preview Extension Host | vis=False | (122,113) 0x0 | 'Shell Preview Extension Host'
13896470 | CtrlNotifySink | vis=True | (282,144) 594x274 | ''
3018848 | SHELLDLL_DefView | vis=True | (282,144) 594x274 | 'ShellView'
1903280 | DirectUIHWND | vis=True | (282,144) 594x274 | ''
1707312 | CtrlNotifySink | vis=True | (282,402) 577x17 | ''
6818440 | ScrollBar | vis=True | (282,402) 577x17 | ''
12387148 | CtrlNotifySink | vis=True | (859,144) 17x258 | ''
4132762 | ScrollBar | vis=True | (859,144) 17x258 | ''
3608692 | Static | vis=True | (257,434) 57x16 | '文件名(&N):'
19794438 | ComboBoxEx32 | vis=True | (320,431) 338x23 | ''
4654422 | ComboBox | vis=True | (320,431) 338x23 | ''
3343610 | Edit | vis=True | (323,434) 315x16 | 'C:\Users\chen\AppData\Local\Temp\nui10-ole-evidence.png'
7212192 | Static | vis=True | (122,61) 0x0 | '文件类型(&T):'
790016 | ComboBox | vis=True | (670,431) 188x22 | ''
4066624 | Button | vis=True | (670,460) 88x26 | '打开(&O)'
3673410 | Button | vis=True | (770,460) 88x26 | '取消'
21957898 | ScrollBar | vis=True | (859,486) 17x17 | ''
6491580 | Static | vis=False | (243,71) 531x18 | ''
2493778 | Static | vis=False | (131,75) 81x32 | ''
34213276 | Static | vis=False | (243,95) 533x24 | ''
1379850 | ListBox | vis=False | (122,113) 657x398 | ''
3083790 | Static | vis=False | (256,61) 601x0 | ''
4786838 | Button | vis=False | (596,523) 90x28 | '帮助(&H)'
2689874 | WorkerW | vis=True | (122,61) 754x52 | ''
724336 | ReBarWindow32 | vis=True | (122,61) 754x52 | ''
4197310 | TravelBand | vis=True | (122,68) 101x35 | ''
4129878 | ToolbarWindow32 | vis=True | (126,70) 97x33 | '导航按钮'
590972 | UpBand | vis=True | (223,67) 36x36 | ''
525578 | ToolbarWindow32 | vis=True | (223,70) 36x36 | '上区段'
3214764 | Address Band Root | vis=True | (259,61) 396x50 | ''
4329422 | msctls_progress32 | vis=True | (261,69) 393x35 | ''
2886490 | Breadcrumb Parent | vis=True | (261,69) 324x35 | ''
1969586 | ToolbarWindow32 | vis=True | (267,69) 318x35 | '地址: D:\自媒体\漫画工作流\output\nui9-rc'
1838444 | ToolbarWindow32 | vis=True | (585,69) 69x35 | '地址区段'
4394504 | ComboBoxEx32 | vis=False | (261,69) 324x34 | ''
656708 | ComboBox | vis=False | (261,69) 324x34 | ''
787460 | Edit | vis=False | (283,78) 278x16 | ''
591518 | SeparatorBand | vis=True | (658,85) 5x1 | ''
7932928 | UniversalSearchBand | vis=True | (663,66) 204x40 | ''
396658 | Search Box | vis=True | (663,68) 204x37 | ''
1310986 | SearchEditBoxWrapperClass | vis=True | (667,68) 196x37 | ''
856142 | DirectUIHWND | vis=True | (667,68) 196x37 | ''
5311556 | SeparatorBand | vis=True | (870,85) 6x1 | ''
