"Sample","Mode","FirstFrameMs","WindowHandleMs","InputIdleMs","CleanClose","Exited","LeftoverChildren"
"1","cold","2264.5","2165","2276","True","True",""
"2","cold","1194.3","1108","1202","True","True",""
"3","cold","1200.6","1104","1208","True","True",""
"4","cold","1183","1087","1190","True","True",""
"5","cold","1192.3","1096","1198","True","True",""
"6","cold","1180.6","1082","1188","True","True",""
"7","cold","1198.7","1088","1206","True","True",""
"8","cold","1231.5","1135","1239","True","True",""
"9","cold","1178.6","1098","1186","True","True",""
"10","cold","1216","1104","1222","True","True",""
"11","cold","1185.7","1099","1193","True","True",""
"12","cold","1199.1","1068","1205","True","True",""
"13","cold","1217.5","1137","1224","True","True",""
"14","cold","1206.9","1116","1213","True","True",""
"15","cold","1179.7","1096","1192","True","True",""
"16","cold","1196","1087","1203","True","True",""
"17","cold","1220.2","1107","1227","True","True",""
"18","cold","1191.8","1092","1199","True","True",""
"19","cold","1212","1134","1226","True","True",""
"20","cold","1209.9","1095","1219","True","True",""
