"Sample","Mode","FirstFrameMs","WindowHandleMs","InputIdleMs","CleanClose","Exited","LeftoverChildren"
"1","cold","-1","222","225","True","True",""
"2","cold","-1","136","136","True","True",""
"3","cold","-1","147","147","True","True",""
"4","cold","-1","109","110","True","True",""
"5","cold","-1","127","130","True","True",""
"6","cold","-1","120","120","True","True",""
"7","cold","3146","2880","3153","True","True",""
"8","cold","1232.8","1144","1241","True","True",""
"9","cold","1254.6","1161","1269","True","True",""
"10","cold","1209.3","1124","1216","True","True",""
"11","cold","1233.1","1127","1240","True","True",""
"12","cold","1259.6","1140","1267","True","True",""
"13","cold","1191.4","1106","1199","True","True",""
"14","cold","1194.8","1108","1202","True","True","ONENOTEM.EXE:13624"
"15","cold","1178.8","1086","1186","True","True",""
"16","cold","1193.4","1096","1200","True","True",""
"17","cold","1203.2","1097","1210","True","True",""
"18","cold","1194.5","1104","1202","True","True",""
"19","cold","1215.8","1096","1223","True","True",""
"20","cold","1186.2","1086","1193","True","True",""
