"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","263.8","171.1","1322","0","True","True","0","0","100"
"2","258.1","165.5","1322","0","True","True","0","0","0"
"3","258.7","168.6","1322","0","True","True","0","0","100"
"4","259.7","169.4","1322","0","True","True","0","0","0"
"5","260.7","168.9","1322","0","True","True","0","0","100"
"6","261.2","168.9","1322","0","True","True","0","0","0"
"7","262","169.4","1322","0","True","True","0","0","100"
"8","263.3","170.6","1322","0","True","True","0","0","0"
"9","264.4","171.7","1322","0","True","True","0","0","100"
"10","266.5","174.1","1423","0","True","True","0","0","0"
"11","274.8","181.6","1423","0","True","True","0","0","100"
"12","274.8","181.6","1423","0","True","True","0","0","0"
"13","274.8","181.6","1423","0","True","True","0","0","100"
"14","275.4","182.2","1423","0","True","True","0","0","0"
"15","276.5","183.4","1423","0","True","True","0","0","100"
"16","277.6","184.5","1423","0","True","True","0","0","0"
"17","277.7","184.3","1423","0","True","True","0","0","100"
"18","280","186.5","1423","0","True","True","0","0","0"
"19","280","186.5","1423","0","True","True","0","0","100"
"20","279.6","187.6","1423","0","True","True","0","0","0"
