"Sample","Mode","FirstFrameMs","WindowHandleMs","InputIdleMs","CleanClose","Exited","LeftoverChildren"
"1","cold","769.9","649","783","True","True",""
"2","cold","693","576","709","True","True",""
"3","cold","727.2","610","738","True","True",""
"4","cold","791.9","685","803","True","True",""
"5","cold","719.7","640","730","True","True",""
"6","cold","736","659","748","True","True",""
"7","cold","717.9","643","728","True","True",""
"8","cold","713.3","605","727","True","True",""
"9","cold","719.4","600","731","True","True",""
"10","cold","729.8","622","742","True","True",""
"11","cold","718.2","610","731","True","True",""
"12","cold","754.9","669","766","True","True",""
"13","cold","737.9","649","754","True","True",""
"14","cold","-1","601","698","True","True","promecefpluginhost.exe:32704,wps.exe:26348,wpscloudsvr.exe:2384,wps.exe:8596,kaideployserver.exe:40488,wps.exe:12032,promecefpluginhost.exe:33748,wps.exe:28564"
"15","cold","691.2","599","704","True","True",""
"16","cold","718.7","635","730","True","True",""
"17","cold","770.2","686","782","True","True",""
"18","cold","716.6","636","729","True","True",""
"19","cold","742.8","648","753","True","True",""
"20","cold","699.1","589","713","True","True",""
