"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ExtentHeight","ViewportHeight","VerticalPercent"
"1","285.5","189.4","-1","0","True","0","0","-1"
"2","285.5","189.4","-1","0","True","0","0","-1"
"3","285.4","189.4","-1","0","True","0","0","-1"
"4","285.4","189.4","-1","0","True","0","0","-1"
"5","285.4","189.4","-1","0","True","0","0","-1"
"6","285.4","189.4","-1","0","True","0","0","-1"
"7","285.4","189.4","-1","0","True","0","0","-1"
"8","285.4","189.4","-1","0","True","0","0","-1"
"9","285.4","189.4","-1","0","True","0","0","-1"
"10","285.4","189.4","-1","0","True","0","0","-1"
"11","285.4","189.4","-1","0","True","0","0","-1"
"12","285.4","189.4","-1","0","True","0","0","-1"
"13","285.4","189.4","-1","0","True","0","0","-1"
"14","285.4","189.4","-1","0","True","0","0","-1"
"15","285.4","189.4","-1","0","True","0","0","-1"
"16","285.4","189.4","-1","0","True","0","0","-1"
"17","285.4","189.4","-1","0","True","0","0","-1"
"18","285.4","189.4","-1","0","True","0","0","-1"
"19","285.4","189.4","-1","0","True","0","0","-1"
"20","285.4","189.4","-1","0","True","0","0","-1"
