"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ExtentHeight","ViewportHeight","VerticalPercent"
"1","289.1","191.8","1423","0","True","0","0","-1"
"2","289.1","191.8","1423","0","True","0","0","-1"
"3","289.7","192.3","1423","0","True","0","0","-1"
"4","290.8","193.5","1423","0","True","0","0","-1"
"5","292","194.9","1423","0","True","0","0","-1"
"6","293.1","195.5","1423","0","True","0","0","-1"
"7","294","196.7","1423","0","True","0","0","-1"
"8","295.2","197.4","1423","0","True","0","0","-1"
"9","296","198.4","1423","0","True","0","0","-1"
"10","297.3","199.9","1423","0","True","0","0","-1"
"11","299","201.7","1423","0","True","0","0","-1"
"12","300","202.4","1423","0","True","0","0","-1"
"13","301.2","203.6","1423","0","True","0","0","-1"
"14","302.1","204.5","1423","0","True","0","0","-1"
"15","303.2","205.6","1423","0","True","0","0","-1"
"16","304.4","206.9","1423","0","True","0","0","-1"
"17","301.2","203.8","1423","0","True","0","0","-1"
"18","302.1","204.7","1423","0","True","0","0","-1"
"19","303.2","206","1423","0","True","0","0","-1"
"20","304.4","207.2","1423","0","True","0","0","-1"
