"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled"
"1","266.7","179.6","1343","0","True"
"2","267.6","181","1343","0","True"
"3","268.3","181.6","1343","0","True"
"4","270.6","184.1","1343","0","True"
"5","271.8","185.1","1343","0","True"
"6","272.2","185.1","1343","0","True"
"7","272.9","186.1","1343","0","True"
"8","273.7","186.7","1343","0","True"
"9","279.6","191.4","1426","0","True"
"10","288.1","199.3","1423","0","True"
"11","288.9","199.5","1423","0","True"
"12","288.9","199.5","1423","0","True"
"13","289","199.6","1423","0","True"
"14","290.3","201","1423","0","True"
"15","290.3","200.8","1423","0","True"
"16","291.5","202","1423","0","True"
"17","292.4","203","1423","0","True"
"18","293.3","203.9","1423","0","True"
"19","294.3","204.9","1423","0","True"
"20","295.5","206.1","1423","0","True"
