"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","273.7","192.1","-1","0","True","True","0","0","100"
"2","274","192.4","-1","0","True","True","0","0","0"
"3","274.2","192.6","-1","0","True","True","0","0","100"
"4","275","193.5","-1","0","True","True","0","0","0"
"5","275.1","193.6","-1","0","True","True","0","0","100"
"6","275.1","193.6","-1","0","True","True","0","0","0"
"7","275.3","193.8","-1","0","True","True","0","0","100"
"8","275.5","193.9","-1","0","True","True","0","0","0"
"9","275.5","193.9","-1","0","True","True","0","0","100"
"10","275.6","194.1","-1","0","True","True","0","0","0"
"11","275.8","194.2","-1","0","True","True","0","0","100"
"12","275.8","194.2","-1","0","True","True","0","0","0"
"13","276","194.4","-1","0","True","True","0","0","100"
"14","276.1","194.5","-1","0","True","True","0","0","0"
"15","276.1","194.5","-1","0","True","True","0","0","100"
"16","276.3","194.7","-1","0","True","True","0","0","0"
"17","276.4","194.8","-1","0","True","True","0","0","100"
"18","276.5","194.8","-1","0","True","True","0","0","0"
"19","276.6","195","-1","0","True","True","0","0","100"
"20","276.6","195","-1","0","True","True","0","0","0"
