"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","273.6","188.4","1423","0","True","True","0","0","100"
"2","273.6","188.9","1423","0","True","True","0","0","0"
"3","273.9","189.2","1423","0","True","True","0","0","100"
"4","274.5","189.8","1423","0","True","True","0","0","0"
"5","275.5","190.8","1423","0","True","True","0","0","100"
"6","276.5","191.9","1423","0","True","True","0","0","0"
"7","277.6","193.2","1423","0","True","True","0","0","100"
"8","278.9","194.4","1423","0","True","True","0","0","0"
"9","279.8","195.5","1423","0","True","True","0","0","100"
"10","281","197.2","1423","0","True","True","0","0","0"
"11","282.7","198.4","1423","0","True","True","0","0","100"
"12","283.3","199.3","1423","0","True","True","0","0","0"
"13","286.2","202","1423","0","True","True","0","0","100"
"14","286.5","202.3","1423","0","True","True","0","0","0"
"15","287","202.8","1423","0","True","True","0","0","100"
"16","288","203.9","1423","0","True","True","0","0","0"
"17","289.6","205.4","1423","0","True","True","0","0","100"
"18","290.4","206.3","1423","0","True","True","0","0","0"
"19","291.4","207.3","1423","0","True","True","0","0","100"
"20","292.7","208.8","1423","0","True","True","0","0","0"
