"Sample","WorkingSetMB","PrivateMB","RealizedNodes","Gen2Collections","Scrolled","ScrollDriven","ExtentHeight","ViewportHeight","VerticalPercent"
"1","257.9","174.3","978","0","True","True","0","0","100"
"2","259","176.8","978","0","True","True","0","0","0"
"3","259","177.1","978","0","True","True","0","0","100"
"4","259.7","177.8","978","0","True","True","0","0","0"
"5","259.8","177.7","978","0","True","True","0","0","100"
"6","260","178","978","0","True","True","0","0","0"
"7","258.3","178.3","978","0","True","True","0","0","100"
"8","256.6","178.6","978","0","True","True","0","0","0"
"9","257.1","178.9","978","0","True","True","0","0","100"
"10","257.8","179.7","978","0","True","True","0","0","0"
"11","257.7","179.7","978","0","True","True","0","0","100"
"12","257.3","179.7","978","0","True","True","0","0","0"
"13","255.2","180.2","978","0","True","True","0","0","100"
"14","255.7","180.8","978","0","True","True","0","0","0"
"15","255.9","180.9","978","0","True","True","0","0","100"
"16","257.2","182.2","978","0","True","True","0","0","0"
"17","258.5","183.5","978","0","True","True","0","0","100"
"18","259.3","184.3","978","0","True","True","0","0","0"
"19","259.3","184.3","978","0","True","True","0","0","100"
"20","259.8","184.9","978","0","True","True","0","0","0"
